Area of Residence,Year,Age at Death,Female,Male,_Total
Cork County,2014,70 - 74 years,92,135,227
Cork County,2014,75 - 79 years,139,162,301
Cork County,2014,80 - 84 years,191,198,389
Cork County,2014,85 years and over,489,272,761
Cork County,2014,Under 1 year,7,10,17
Cork County,2015,1 - 4 years,2,3,5
Cork County,2015,10 - 14 years,1,6,7
Cork County,2015,15 - 19 years,2,5,7
Cork County,2015,20 - 24 years,4,9,13
Cork County,2015,25 - 29 years,8,7,15
Cork County,2015,30 - 34 years,5,8,13
Cork County,2015,35 - 39 years,8,12,20
Cork County,2015,40 - 44 years,6,24,30
Cork County,2015,45 - 49 years,16,20,36
Cork County,2015,5 - 9 years,1,1,2
Cork County,2015,50 - 54 years,17,57,74
Cork County,2015,55 - 59 years,45,65,110
Cork County,2015,60 - 64 years,43,61,104
Cork County,2015,65 - 69 years,71,126,197
Cork County,2015,70 - 74 years,82,156,238
Cork County,2015,75 - 79 years,116,163,279
Cork County,2015,80 - 84 years,182,220,402
Cork County,2015,85 years and over,523,325,848
Cork County,2015,Under 1 year,8,5,13
Cork County,2016,1 - 4 years,3,3,6
Cork County,2016,10 - 14 years,1,2,3
Cork County,2016,15 - 19 years,1,6,7
Cork County,2016,20 - 24 years,1,8,9
Cork County,2016,25 - 29 years,3,8,11
Cork County,2016,30 - 34 years,8,13,21
Cork County,2016,35 - 39 years,9,7,16
Cork County,2016,40 - 44 years,11,31,42
Cork County,2016,45 - 49 years,21,31,52
Cork County,2016,5 - 9 years,1,1,2
Cork County,2016,50 - 54 years,33,32,65
Cork County,2016,55 - 59 years,43,56,99
Cork County,2016,60 - 64 years,53,90,143
Cork County,2016,65 - 69 years,70,140,210
Cork County,2016,70 - 74 years,99,164,263
Cork County,2016,75 - 79 years,113,199,312
Cork County,2016,80 - 84 years,200,236,436
Cork County,2016,85 years and over,539,366,905
Cork County,2016,Under 1 year,4,7,11
Cork County,2017,1 - 4 years,1,1,2
Cork County,2017,10 - 14 years,1,1,2
Cork County,2017,15 - 19 years,6,4,10
Cork County,2017,20 - 24 years,1,7,8
Cork County,2017,25 - 29 years,1,7,8
Cork County,2017,30 - 34 years,6,10,16
Cork County,2017,35 - 39 years,12,12,24
Cork County,2017,40 - 44 years,19,20,39
Cork County,2017,45 - 49 years,30,22,52
Cork County,2017,5 - 9 years,1,3,4
Cork County,2017,50 - 54 years,24,48,72
Cork County,2017,55 - 59 years,35,57,92
Cork County,2017,60 - 64 years,78,81,159
Cork County,2017,65 - 69 years,69,106,175
Cork County,2017,70 - 74 years,108,138,246
Cork County,2017,75 - 79 years,128,210,338
Cork County,2017,80 - 84 years,195,210,405
Cork County,2017,85 years and over,595,335,930
Cork County,2017,Under 1 year,6,5,11
Cork County,2018,1 - 4 years,1,1,2
Cork County,2018,10 - 14 years,2,1,3
Cork County,2018,15 - 19 years,1,3,4
Cork County,2018,20 - 24 years,2,7,9
Cork County,2018,25 - 29 years,3,5,8
Cork County,2018,30 - 34 years,4,9,13
Cork County,2018,35 - 39 years,13,8,21
Cork County,2018,40 - 44 years,10,12,22
Cork County,2018,45 - 49 years,16,35,51
Cork County,2018,5 - 9 years,0,1,1
Cork County,2018,50 - 54 years,28,42,70
Cork County,2018,55 - 59 years,32,56,88
Cork County,2018,60 - 64 years,48,90,138
Cork County,2018,65 - 69 years,70,131,201
Cork County,2018,70 - 74 years,107,152,259
Cork County,2018,75 - 79 years,129,201,330
Cork County,2018,80 - 84 years,204,222,426
Cork County,2018,85 years and over,516,380,896
Cork County,2018,Under 1 year,6,6,12
Cork County,2019,1 - 4 years,0,3,3
Cork County,2019,10 - 14 years,1,2,3
Cork County,2019,15 - 19 years,1,7,8
Cork County,2019,20 - 24 years,0,7,7
Cork County,2019,25 - 29 years,2,3,5
Cork County,2019,30 - 34 years,7,7,14
Cork County,2019,35 - 39 years,8,7,15
Cork County,2019,40 - 44 years,13,22,35
Cork County,2019,45 - 49 years,15,42,57
Cork County,2019,5 - 9 years,1,1,2
Cork County,2019,50 - 54 years,27,26,53
Cork County,2019,55 - 59 years,37,57,94
Cork County,2019,60 - 64 years,31,88,119
Cork County,2019,65 - 69 years,93,92,185
Cork County,2019,70 - 74 years,100,167,267
Cork County,2019,75 - 79 years,133,212,345
Cork County,2019,80 - 84 years,204,235,439
Cork County,2019,85 years and over,553,341,894
Cork County,2019,Under 1 year,5,12,17
Cork County,2020,1 - 4 years,0,1,1
Cork County,2020,10 - 14 years,1,1,2
Cork County,2020,15 - 19 years,3,2,5
Cork County,2020,20 - 24 years,1,4,5
Cork County,2020,25 - 29 years,1,3,4
Cork County,2020,30 - 34 years,6,10,16
Cork County,2020,35 - 39 years,13,10,23
Cork County,2020,40 - 44 years,7,14,21
Cork County,2020,45 - 49 years,19,23,42
Cork County,2020,5 - 9 years,2,1,3
Cork County,2020,50 - 54 years,36,47,83
Cork County,2020,55 - 59 years,31,44,75
Cork County,2020,60 - 64 years,50,86,136
Cork County,2020,65 - 69 years,57,127,184
Cork County,2020,70 - 74 years,123,188,311
Cork County,2020,75 - 79 years,125,185,310
Cork County,2020,80 - 84 years,200,224,424
Cork County,2020,85 years and over,553,390,943
Cork County,2020,Under 1 year,6,10,16
Donegal,2007,1 - 4 years,2,1,3
Donegal,2007,10 - 14 years,0,0,0
Donegal,2007,15 - 19 years,3,7,10
Donegal,2007,20 - 24 years,0,2,2
Donegal,2007,25 - 29 years,2,3,5
Donegal,2007,30 - 34 years,2,3,5
Donegal,2007,35 - 39 years,2,4,6
Donegal,2007,40 - 44 years,3,4,7
Donegal,2007,45 - 49 years,8,10,18
Donegal,2007,5 - 9 years,1,0,1
Donegal,2007,50 - 54 years,11,9,20
Donegal,2007,55 - 59 years,19,32,51
Donegal,2007,60 - 64 years,23,24,47
Donegal,2007,65 - 69 years,20,43,63
Donegal,2007,70 - 74 years,45,67,112
Donegal,2007,75 - 79 years,54,79,133
Donegal,2007,80 - 84 years,93,98,191
Donegal,2007,85 years and over,224,145,369
Donegal,2007,Under 1 year,1,6,7
Donegal,2008,1 - 4 years,2,1,3
Donegal,2008,10 - 14 years,0,0,0
Donegal,2008,15 - 19 years,1,2,3
Donegal,2008,20 - 24 years,2,6,8
Donegal,2008,25 - 29 years,4,8,12
Donegal,2008,30 - 34 years,4,6,10
Donegal,2008,35 - 39 years,4,5,9
Donegal,2008,40 - 44 years,6,9,15
Donegal,2008,45 - 49 years,12,5,17
Donegal,2008,5 - 9 years,1,1,2
Donegal,2008,50 - 54 years,5,14,19
Donegal,2008,55 - 59 years,20,26,46
Donegal,2008,60 - 64 years,14,31,45
Donegal,2008,65 - 69 years,28,59,87
Donegal,2008,70 - 74 years,31,57,88
Donegal,2008,75 - 79 years,63,92,155
Donegal,2008,80 - 84 years,86,107,193
Donegal,2008,85 years and over,235,132,367
Donegal,2008,Under 1 year,6,5,11
Donegal,2009,1 - 4 years,2,1,3
Donegal,2009,10 - 14 years,0,1,1
Donegal,2009,15 - 19 years,3,2,5
Donegal,2009,20 - 24 years,2,4,6
Donegal,2009,25 - 29 years,2,5,7
Donegal,2009,30 - 34 years,1,4,5
Donegal,2009,35 - 39 years,3,8,11
Donegal,2009,40 - 44 years,4,7,11
Donegal,2009,45 - 49 years,12,8,20
Donegal,2009,5 - 9 years,1,1,2
Donegal,2009,50 - 54 years,8,22,30
Donegal,2009,55 - 59 years,19,25,44
Donegal,2009,60 - 64 years,29,46,75
Donegal,2009,65 - 69 years,37,41,78
Donegal,2009,70 - 74 years,39,64,103
Donegal,2009,75 - 79 years,59,73,132
Donegal,2009,80 - 84 years,73,102,175
Donegal,2009,85 years and over,230,142,372
Donegal,2009,Under 1 year,3,6,9
Donegal,2010,1 - 4 years,1,2,3
Donegal,2010,10 - 14 years,1,1,2
Donegal,2010,15 - 19 years,3,2,5
Donegal,2010,20 - 24 years,2,3,5
Donegal,2010,25 - 29 years,3,1,4
Donegal,2010,30 - 34 years,1,3,4
Donegal,2010,35 - 39 years,3,9,12
Donegal,2010,40 - 44 years,5,5,10
Donegal,2010,45 - 49 years,1,5,6
Donegal,2010,5 - 9 years,1,1,2
Donegal,2010,50 - 54 years,10,12,22
Donegal,2010,55 - 59 years,26,30,56
Donegal,2010,60 - 64 years,27,38,65
Donegal,2010,65 - 69 years,32,60,92
Donegal,2010,70 - 74 years,47,69,116
Donegal,2010,75 - 79 years,57,79,136
Donegal,2010,80 - 84 years,89,92,181
Donegal,2010,85 years and over,235,141,376
Donegal,2010,Under 1 year,2,4,6
Donegal,2011,1 - 4 years,0,1,1
Donegal,2011,10 - 14 years,0,0,0
Donegal,2011,15 - 19 years,1,3,4
Donegal,2011,20 - 24 years,1,5,6
Donegal,2011,25 - 29 years,1,0,1
Donegal,2011,30 - 34 years,2,5,7
Donegal,2011,35 - 39 years,4,5,9
Donegal,2011,40 - 44 years,6,10,16
Donegal,2011,45 - 49 years,4,13,17
Donegal,2011,5 - 9 years,1,1,2
Donegal,2011,50 - 54 years,8,20,28
Donegal,2011,55 - 59 years,9,25,34
Donegal,2011,60 - 64 years,32,50,82
Donegal,2011,65 - 69 years,31,38,69
Donegal,2011,70 - 74 years,46,70,116
Donegal,2011,75 - 79 years,42,81,123
Donegal,2011,80 - 84 years,87,98,185
Donegal,2011,85 years and over,203,152,355
Donegal,2011,Under 1 year,2,4,6
Donegal,2012,1 - 4 years,0,1,1
Donegal,2012,10 - 14 years,1,1,2
Donegal,2012,15 - 19 years,3,1,4
Donegal,2012,20 - 24 years,2,2,4
Donegal,2012,25 - 29 years,1,6,7
Donegal,2012,30 - 34 years,4,5,9
Donegal,2012,35 - 39 years,1,3,4
Donegal,2012,40 - 44 years,5,5,10
Donegal,2012,45 - 49 years,5,10,15
Donegal,2012,5 - 9 years,1,1,2
Donegal,2012,50 - 54 years,11,12,23
Donegal,2012,55 - 59 years,7,27,34
Donegal,2012,60 - 64 years,31,41,72
Donegal,2012,65 - 69 years,27,55,82
Donegal,2012,70 - 74 years,36,68,104
Donegal,2012,75 - 79 years,64,96,160
Donegal,2012,80 - 84 years,94,101,195
Donegal,2012,85 years and over,251,152,403
Donegal,2012,Under 1 year,7,4,11
Donegal,2013,1 - 4 years,0,1,1
Donegal,2013,10 - 14 years,0,1,1
Donegal,2013,15 - 19 years,0,1,1
Donegal,2013,20 - 24 years,0,1,1
Donegal,2013,25 - 29 years,0,4,4
Donegal,2013,30 - 34 years,1,9,10
Donegal,2013,35 - 39 years,2,1,3
Donegal,2013,40 - 44 years,5,5,10
Donegal,2013,45 - 49 years,10,9,19
Donegal,2013,5 - 9 years,1,1,2
Donegal,2013,50 - 54 years,11,9,20
Donegal,2013,55 - 59 years,13,26,39
Donegal,2013,60 - 64 years,30,42,72
Donegal,2013,65 - 69 years,29,50,79
Donegal,2013,70 - 74 years,43,69,112
Donegal,2013,75 - 79 years,53,69,122
Donegal,2013,80 - 84 years,76,99,175
Donegal,2013,85 years and over,256,186,442
Donegal,2013,Under 1 year,4,6,10
Donegal,2014,1 - 4 years,1,1,2
Donegal,2014,10 - 14 years,0,1,1
Donegal,2014,15 - 19 years,1,1,2
Donegal,2014,20 - 24 years,0,2,2
Donegal,2014,25 - 29 years,3,2,5
Donegal,2014,30 - 34 years,1,4,5
Donegal,2014,35 - 39 years,3,4,7
Donegal,2014,40 - 44 years,3,7,10
Donegal,2014,45 - 49 years,6,8,14
Donegal,2014,5 - 9 years,1,1,2
Donegal,2014,50 - 54 years,9,17,26
Donegal,2014,55 - 59 years,13,23,36
Donegal,2014,60 - 64 years,20,37,57
Donegal,2014,65 - 69 years,43,62,105
Donegal,2014,70 - 74 years,44,72,116
Donegal,2014,75 - 79 years,53,92,145
Donegal,2014,80 - 84 years,81,88,169
Donegal,2014,85 years and over,244,167,411
Donegal,2014,Under 1 year,2,7,9
Donegal,2015,1 - 4 years,1,1,2
Donegal,2015,10 - 14 years,0,1,1
Donegal,2015,15 - 19 years,1,1,2
Donegal,2015,20 - 24 years,2,3,5
Donegal,2015,25 - 29 years,2,2,4
Donegal,2015,30 - 34 years,5,4,9
Donegal,2015,35 - 39 years,3,5,8
Donegal,2015,40 - 44 years,4,5,9
Donegal,2015,45 - 49 years,6,15,21
Donegal,2015,5 - 9 years,1,1,2
Donegal,2015,50 - 54 years,4,15,19
Donegal,2015,55 - 59 years,17,20,37
Donegal,2015,60 - 64 years,15,45,60
Donegal,2015,65 - 69 years,27,42,69
Donegal,2015,70 - 74 years,40,77,117
Donegal,2015,75 - 79 years,59,85,144
Donegal,2015,80 - 84 years,86,114,200
Donegal,2015,85 years and over,259,171,430
Donegal,2015,Under 1 year,4,7,11
Donegal,2016,1 - 4 years,1,2,3
Donegal,2016,10 - 14 years,0,1,1
Donegal,2016,15 - 19 years,1,3,4
Donegal,2016,20 - 24 years,1,3,4
Donegal,2016,25 - 29 years,2,2,4
Donegal,2016,30 - 34 years,2,4,6
Donegal,2016,35 - 39 years,2,7,9
Donegal,2016,40 - 44 years,8,4,12
Donegal,2016,45 - 49 years,7,9,16
Donegal,2016,5 - 9 years,1,1,2
Donegal,2016,50 - 54 years,11,13,24
Donegal,2016,55 - 59 years,15,26,41
Donegal,2016,60 - 64 years,23,28,51
Donegal,2016,65 - 69 years,31,52,83
Donegal,2016,70 - 74 years,55,72,127
Donegal,2016,75 - 79 years,68,75,143
Donegal,2016,80 - 84 years,84,93,177
Donegal,2016,85 years and over,257,169,426
Donegal,2016,Under 1 year,2,5,7
Donegal,2017,1 - 4 years,1,1,2
Donegal,2017,10 - 14 years,0,1,1
Donegal,2017,15 - 19 years,1,1,2
Donegal,2017,20 - 24 years,1,2,3
Donegal,2017,25 - 29 years,2,2,4
Donegal,2017,30 - 34 years,1,3,4
Donegal,2017,35 - 39 years,2,4,6
Donegal,2017,40 - 44 years,3,3,6
Donegal,2017,45 - 49 years,4,20,24
Donegal,2017,5 - 9 years,1,1,2
Donegal,2017,50 - 54 years,11,15,26
Donegal,2017,55 - 59 years,9,16,25
Donegal,2017,60 - 64 years,18,36,54
Donegal,2017,65 - 69 years,41,55,96
Donegal,2017,70 - 74 years,49,86,135
Donegal,2017,75 - 79 years,66,89,155
Donegal,2017,80 - 84 years,89,114,203
Donegal,2017,85 years and over,255,184,439
Donegal,2017,Under 1 year,6,5,11
Donegal,2018,1 - 4 years,1,0,1
Donegal,2018,10 - 14 years,0,0,0
Donegal,2018,15 - 19 years,0,0,0
Donegal,2018,20 - 24 years,1,2,3
Donegal,2018,25 - 29 years,1,3,4
Donegal,2018,30 - 34 years,4,1,5
Donegal,2018,35 - 39 years,0,5,5
Donegal,2018,40 - 44 years,4,3,7
Donegal,2018,45 - 49 years,10,9,19
Donegal,2018,5 - 9 years,0,0,0
Donegal,2018,50 - 54 years,12,19,31
Donegal,2018,55 - 59 years,20,21,41
Donegal,2018,60 - 64 years,17,32,49
Donegal,2018,65 - 69 years,37,54,91
Donegal,2018,70 - 74 years,47,68,115
Donegal,2018,75 - 79 years,67,99,166
Donegal,2018,80 - 84 years,102,101,203
Donegal,2018,85 years and over,261,173,434
Donegal,2018,Under 1 year,2,2,4
Donegal,2019,1 - 4 years,2,2,4
Donegal,2019,10 - 14 years,0,0,0
Donegal,2019,15 - 19 years,2,2,4
Donegal,2019,20 - 24 years,3,3,6
Donegal,2019,25 - 29 years,2,2,4
Donegal,2019,30 - 34 years,2,2,4
Donegal,2019,35 - 39 years,2,2,4
Donegal,2019,40 - 44 years,7,7,14
Donegal,2019,45 - 49 years,15,15,30
Donegal,2019,5 - 9 years,0,0,0
Donegal,2019,50 - 54 years,19,19,38
Donegal,2019,55 - 59 years,20,20,40
Donegal,2019,60 - 64 years,37,37,74
Donegal,2019,65 - 69 years,59,59,118
Donegal,2019,70 - 74 years,89,89,178
Donegal,2019,75 - 79 years,80,80,160
Donegal,2019,80 - 84 years,95,95,190
Donegal,2019,85 years and over,205,205,410
Donegal,2019,Under 1 year,1,1,2
Donegal,2020,1 - 4 years,2,1,3
Donegal,2020,10 - 14 years,0,0,0
Donegal,2020,15 - 19 years,2,1,3
Donegal,2020,20 - 24 years,3,1,4
Donegal,2020,25 - 29 years,1,2,3
Donegal,2020,30 - 34 years,2,3,5
Donegal,2020,35 - 39 years,2,5,7
Donegal,2020,40 - 44 years,4,6,10
Donegal,2020,45 - 49 years,7,6,13
Donegal,2020,5 - 9 years,0,0,0
Donegal,2020,50 - 54 years,11,7,18
Donegal,2020,55 - 59 years,21,21,42
Donegal,2020,60 - 64 years,23,27,50
Donegal,2020,65 - 69 years,30,50,80
Donegal,2020,70 - 74 years,43,80,123
Donegal,2020,75 - 79 years,68,101,169
Donegal,2020,80 - 84 years,91,113,204
Donegal,2020,85 years and over,248,202,450
Donegal,2020,Under 1 year,3,1,4
Drogheda Borough,2007,1 - 4 years,0,0,0
Drogheda Borough,2007,10 - 14 years,0,0,0
Drogheda Borough,2007,15 - 19 years,0,0,0
Drogheda Borough,2007,20 - 24 years,2,4,6
Drogheda Borough,2007,25 - 29 years,0,3,3
Drogheda Borough,2007,30 - 34 years,3,2,5
Drogheda Borough,2007,35 - 39 years,1,4,5
Drogheda Borough,2007,40 - 44 years,3,4,7
Drogheda Borough,2007,45 - 49 years,3,3,6
Drogheda Borough,2007,5 - 9 years,0,0,0
Drogheda Borough,2007,50 - 54 years,2,2,4
Drogheda Borough,2007,55 - 59 years,4,6,10
Drogheda Borough,2007,60 - 64 years,11,9,20
Drogheda Borough,2007,65 - 69 years,13,10,23
Drogheda Borough,2007,70 - 74 years,12,9,21
Drogheda Borough,2007,75 - 79 years,9,15,24
Drogheda Borough,2007,80 - 84 years,21,13,34
Drogheda Borough,2007,85 years and over,27,14,41
Drogheda Borough,2007,Under 1 year,1,1,2
Drogheda Borough,2008,1 - 4 years,0,0,0
Drogheda Borough,2008,10 - 14 years,0,0,0
Drogheda Borough,2008,15 - 19 years,0,0,0
Drogheda Borough,2008,20 - 24 years,2,2,4
Drogheda Borough,2008,25 - 29 years,1,5,6
Drogheda Borough,2008,30 - 34 years,3,1,4
Drogheda Borough,2008,35 - 39 years,2,2,4
Drogheda Borough,2008,40 - 44 years,1,4,5
Drogheda Borough,2008,45 - 49 years,2,5,7
Drogheda Borough,2008,5 - 9 years,0,0,0
Drogheda Borough,2008,50 - 54 years,4,8,12
Drogheda Borough,2008,55 - 59 years,2,9,11
Drogheda Borough,2008,60 - 64 years,2,9,11
Drogheda Borough,2008,65 - 69 years,4,8,12
Drogheda Borough,2008,70 - 74 years,10,9,19
Drogheda Borough,2008,75 - 79 years,16,9,25
Drogheda Borough,2008,80 - 84 years,14,16,30
Drogheda Borough,2008,85 years and over,40,18,58
Drogheda Borough,2008,Under 1 year,2,1,3
Drogheda Borough,2009,1 - 4 years,1,0,1
Drogheda Borough,2009,10 - 14 years,0,0,0
Drogheda Borough,2009,15 - 19 years,0,1,1
Drogheda Borough,2009,20 - 24 years,2,3,5
Drogheda Borough,2009,25 - 29 years,1,2,3
Drogheda Borough,2009,30 - 34 years,3,3,6
Drogheda Borough,2009,35 - 39 years,2,4,6
Drogheda Borough,2009,40 - 44 years,1,2,3
Drogheda Borough,2009,45 - 49 years,2,4,6
Drogheda Borough,2009,5 - 9 years,0,1,1
Drogheda Borough,2009,50 - 54 years,1,5,6
Drogheda Borough,2009,55 - 59 years,2,6,8
Drogheda Borough,2009,60 - 64 years,5,9,14
Drogheda Borough,2009,65 - 69 years,5,13,18
Drogheda Borough,2009,70 - 74 years,10,11,21
Drogheda Borough,2009,75 - 79 years,10,17,27
Drogheda Borough,2009,80 - 84 years,23,17,40
Drogheda Borough,2009,85 years and over,37,18,55
Drogheda Borough,2009,Under 1 year,1,1,2
Drogheda Borough,2010,1 - 4 years,1,0,1
Drogheda Borough,2010,10 - 14 years,0,0,0
Drogheda Borough,2010,15 - 19 years,1,2,3
Drogheda Borough,2010,20 - 24 years,2,3,5
Drogheda Borough,2010,25 - 29 years,1,2,3
Drogheda Borough,2010,30 - 34 years,1,2,3
Drogheda Borough,2010,35 - 39 years,2,4,6
Drogheda Borough,2010,40 - 44 years,1,5,6
Drogheda Borough,2010,45 - 49 years,1,1,2
Drogheda Borough,2010,5 - 9 years,0,1,1
Drogheda Borough,2010,50 - 54 years,2,1,3
Drogheda Borough,2010,55 - 59 years,4,3,7
Drogheda Borough,2010,60 - 64 years,3,11,14
Drogheda Borough,2010,65 - 69 years,7,7,14
Drogheda Borough,2010,70 - 74 years,14,14,28
Drogheda Borough,2010,75 - 79 years,13,14,27
Drogheda Borough,2010,80 - 84 years,24,15,39
Drogheda Borough,2010,85 years and over,36,13,49
Drogheda Borough,2010,Under 1 year,1,1,2
Drogheda Borough,2011,1 - 4 years,0,1,1
Drogheda Borough,2011,10 - 14 years,0,0,0
Drogheda Borough,2011,15 - 19 years,0,1,1
Drogheda Borough,2011,20 - 24 years,0,2,2
Drogheda Borough,2011,25 - 29 years,1,2,3
Drogheda Borough,2011,30 - 34 years,0,2,2
Drogheda Borough,2011,35 - 39 years,1,3,4
Drogheda Borough,2011,40 - 44 years,1,2,3
Drogheda Borough,2011,45 - 49 years,1,3,4
Drogheda Borough,2011,5 - 9 years,0,0,0
Drogheda Borough,2011,50 - 54 years,2,2,4
Drogheda Borough,2011,55 - 59 years,7,7,14
Drogheda Borough,2011,60 - 64 years,4,6,10
Drogheda Borough,2011,65 - 69 years,4,12,16
Drogheda Borough,2011,70 - 74 years,12,15,27
Drogheda Borough,2011,75 - 79 years,13,11,24
Drogheda Borough,2011,80 - 84 years,13,4,17
Drogheda Borough,2011,85 years and over,40,18,58
Drogheda Borough,2011,Under 1 year,1,1,2
Drogheda Borough,2012,1 - 4 years,0,1,1
Drogheda Borough,2012,10 - 14 years,0,0,0
Drogheda Borough,2012,15 - 19 years,0,1,1
Drogheda Borough,2012,20 - 24 years,0,2,2
Drogheda Borough,2012,25 - 29 years,1,2,3
Drogheda Borough,2012,30 - 34 years,3,2,5
Drogheda Borough,2012,35 - 39 years,1,1,2
Drogheda Borough,2012,40 - 44 years,1,6,7
Drogheda Borough,2012,45 - 49 years,5,5,10
Drogheda Borough,2012,5 - 9 years,0,0,0
Drogheda Borough,2012,50 - 54 years,4,3,7
Drogheda Borough,2012,55 - 59 years,4,7,11
Drogheda Borough,2012,60 - 64 years,7,7,14
Drogheda Borough,2012,65 - 69 years,7,6,13
Drogheda Borough,2012,70 - 74 years,4,13,17
Drogheda Borough,2012,75 - 79 years,21,16,37
Drogheda Borough,2012,80 - 84 years,16,9,25
Drogheda Borough,2012,85 years and over,50,14,64
Drogheda Borough,2012,Under 1 year,1,1,2
Drogheda Borough,2013,1 - 4 years,0,0,0
Drogheda Borough,2013,10 - 14 years,1,0,1
Drogheda Borough,2013,15 - 19 years,0,0,0
Drogheda Borough,2013,20 - 24 years,0,1,1
Drogheda Borough,2013,25 - 29 years,0,1,1
Drogheda Borough,2013,30 - 34 years,1,3,4
Drogheda Borough,2013,35 - 39 years,0,1,1
Drogheda Borough,2013,40 - 44 years,1,6,7
Drogheda Borough,2013,45 - 49 years,2,3,5
Drogheda Borough,2013,5 - 9 years,0,0,0
Drogheda Borough,2013,50 - 54 years,6,4,10
Drogheda Borough,2013,55 - 59 years,3,6,9
Drogheda Borough,2013,60 - 64 years,5,4,9
Drogheda Borough,2013,65 - 69 years,4,13,17
Drogheda Borough,2013,70 - 74 years,13,18,31
Drogheda Borough,2013,75 - 79 years,7,13,20
Drogheda Borough,2013,80 - 84 years,19,15,34
Drogheda Borough,2013,85 years and over,32,15,47
Drogheda Borough,2013,Under 1 year,0,0,0
Drogheda Borough,2014,1 - 4 years,0,0,0
Drogheda Borough,2014,10 - 14 years,1,1,2
Drogheda Borough,2014,15 - 19 years,0,0,0
Drogheda Borough,2014,20 - 24 years,1,1,2
Drogheda Borough,2014,25 - 29 years,0,1,1
Drogheda Borough,2014,30 - 34 years,1,3,4
Drogheda Borough,2014,35 - 39 years,0,1,1
Drogheda Borough,2014,40 - 44 years,1,3,4
Drogheda Borough,2014,45 - 49 years,2,2,4
Drogheda Borough,2014,5 - 9 years,0,0,0
Drogheda Borough,2014,50 - 54 years,1,6,7
Drogheda Borough,2014,55 - 59 years,1,4,5
Drogheda Borough,2014,60 - 64 years,6,14,20
Drogheda Borough,2014,65 - 69 years,6,11,17
Drogheda Borough,2014,70 - 74 years,16,12,28
Drogheda Borough,2014,75 - 79 years,13,18,31
Drogheda Borough,2014,80 - 84 years,8,11,19
Drogheda Borough,2014,85 years and over,44,19,63
Drogheda Borough,2014,Under 1 year,0,1,1
Drogheda Borough,2015,1 - 4 years,0,0,0
Drogheda Borough,2015,10 - 14 years,1,1,2
Drogheda Borough,2015,15 - 19 years,0,0,0
Drogheda Borough,2015,20 - 24 years,1,1,2
Drogheda Borough,2015,25 - 29 years,0,1,1
Drogheda Borough,2015,30 - 34 years,1,3,4
Drogheda Borough,2015,35 - 39 years,0,1,1
Drogheda Borough,2015,40 - 44 years,1,3,4
Drogheda Borough,2015,45 - 49 years,2,2,4
Drogheda Borough,2015,5 - 9 years,0,0,0
Drogheda Borough,2015,50 - 54 years,1,6,7
Drogheda Borough,2015,55 - 59 years,1,4,5
Drogheda Borough,2015,60 - 64 years,6,14,20
Drogheda Borough,2015,65 - 69 years,6,11,17
Drogheda Borough,2015,70 - 74 years,16,12,28
Drogheda Borough,2015,75 - 79 years,13,18,31
Drogheda Borough,2015,80 - 84 years,8,11,19
Drogheda Borough,2015,85 years and over,44,19,63
Drogheda Borough,2015,Under 1 year,0,1,1
Drogheda Borough,2016,1 - 4 years,0,0,0
Drogheda Borough,2016,10 - 14 years,1,1,2
Drogheda Borough,2016,15 - 19 years,0,0,0
Drogheda Borough,2016,20 - 24 years,1,1,2
Drogheda Borough,2016,25 - 29 years,0,1,1
Drogheda Borough,2016,30 - 34 years,1,3,4
Drogheda Borough,2016,35 - 39 years,0,1,1
Drogheda Borough,2016,40 - 44 years,1,3,4
Drogheda Borough,2016,45 - 49 years,2,2,4
Drogheda Borough,2016,5 - 9 years,0,0,0
Drogheda Borough,2016,50 - 54 years,1,6,7
Drogheda Borough,2016,55 - 59 years,1,4,5
Drogheda Borough,2016,60 - 64 years,6,14,20
Drogheda Borough,2016,65 - 69 years,6,11,17
Drogheda Borough,2016,70 - 74 years,16,12,28
Drogheda Borough,2016,75 - 79 years,13,18,31
Drogheda Borough,2016,80 - 84 years,8,11,19
Drogheda Borough,2016,85 years and over,44,19,63
Drogheda Borough,2016,Under 1 year,0,1,1
Drogheda Borough,2017,1 - 4 years,1,0,1
Drogheda Borough,2017,10 - 14 years,1,1,2
Drogheda Borough,2017,15 - 19 years,1,0,1
Drogheda Borough,2017,20 - 24 years,1,1,2
Drogheda Borough,2017,25 - 29 years,1,1,2
Drogheda Borough,2017,30 - 34 years,1,3,4
Drogheda Borough,2017,35 - 39 years,0,2,2
Drogheda Borough,2017,40 - 44 years,1,3,4
Drogheda Borough,2017,45 - 49 years,2,1,3
Drogheda Borough,2017,5 - 9 years,0,0,0
Drogheda Borough,2017,50 - 54 years,3,4,7
Drogheda Borough,2017,55 - 59 years,4,4,8
Drogheda Borough,2017,60 - 64 years,4,2,6
Drogheda Borough,2017,65 - 69 years,12,12,24
Drogheda Borough,2017,70 - 74 years,13,13,26
Drogheda Borough,2017,75 - 79 years,11,28,39
Drogheda Borough,2017,80 - 84 years,17,21,38
Drogheda Borough,2017,85 years and over,40,22,62
Drogheda Borough,2017,Under 1 year,0,1,1
Drogheda Borough,2018,1 - 4 years,0,0,0
Drogheda Borough,2018,10 - 14 years,0,1,1
Drogheda Borough,2018,15 - 19 years,0,1,1
Drogheda Borough,2018,20 - 24 years,0,0,0
Drogheda Borough,2018,25 - 29 years,0,2,2
Drogheda Borough,2018,30 - 34 years,2,0,2
